2023-12-10 12:09:32, INFO: Current git head hash code: %s
2023-12-10 12:09:32, INFO: Using device: cuda:0
2023-12-10 12:09:32, INFO: Policy: SARL w/ global state
2023-12-10 12:09:36, INFO: human number: 5
2023-12-10 12:09:36, INFO: Not randomize human's radius and preferred speed
2023-12-10 12:09:36, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2023-12-10 12:09:36, INFO: Square width: 10.0, circle width: 4.0
2023-12-10 12:09:36, INFO: Current learning rate: 0.010000
2023-12-10 12:14:29, INFO: TRAIN has success rate: 0.89, collision rate: 0.09, nav time: 12.18, total reward: 0.2416
2023-12-10 12:19:00, INFO: Finish imitation learning. Weights saved.
2023-12-10 12:19:00, INFO: Experience set size: 100000/100000
2023-12-10 12:19:00, INFO: Agent is invisible and has holonomic kinematic constraint
2023-12-10 12:19:00, INFO: Current learning rate: 0.001000
2023-12-10 12:39:33, INFO: VAL   in episode 0 has success rate: 0.93, collision rate: 0.05, nav time: 11.12, total reward: 0.2402
2023-12-10 12:39:33, INFO: Frequency of being in danger: 0.13 and average min separate distance in danger: 0.07
2023-12-10 12:39:44, INFO: TRAIN in episode 0 has success rate: 1.00, collision rate: 0.00, nav time: 18.75, total reward: 0.1424
2023-12-10 12:40:10, INFO: TRAIN in episode 1 has success rate: 1.00, collision rate: 0.00, nav time: 19.75, total reward: 0.1282
2023-12-10 12:40:39, INFO: TRAIN in episode 2 has success rate: 1.00, collision rate: 0.00, nav time: 22.25, total reward: 0.0985
2023-12-10 12:41:03, INFO: TRAIN in episode 3 has success rate: 1.00, collision rate: 0.00, nav time: 21.75, total reward: 0.1038
2023-12-10 12:41:27, INFO: TRAIN in episode 4 has success rate: 1.00, collision rate: 0.00, nav time: 20.25, total reward: 0.1202
2023-12-10 12:41:49, INFO: TRAIN in episode 5 has success rate: 1.00, collision rate: 0.00, nav time: 19.25, total reward: 0.1351
2023-12-10 12:42:04, INFO: TRAIN in episode 6 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1354
2023-12-10 12:42:28, INFO: TRAIN in episode 7 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2023-12-10 12:42:38, INFO: TRAIN in episode 8 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2567
2023-12-10 12:43:03, INFO: TRAIN in episode 9 has success rate: 1.00, collision rate: 0.00, nav time: 22.50, total reward: 0.0959
2023-12-10 12:43:19, INFO: TRAIN in episode 10 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2456
2023-12-10 12:43:35, INFO: TRAIN in episode 11 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1578
2023-12-10 12:43:57, INFO: TRAIN in episode 12 has success rate: 1.00, collision rate: 0.00, nav time: 20.50, total reward: 0.1184
2023-12-10 12:44:13, INFO: TRAIN in episode 13 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1423
2023-12-10 12:44:26, INFO: TRAIN in episode 14 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2405
2023-12-10 12:44:40, INFO: TRAIN in episode 15 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1460
2023-12-10 12:45:01, INFO: TRAIN in episode 16 has success rate: 1.00, collision rate: 0.00, nav time: 15.50, total reward: 0.1960
2023-12-10 12:45:26, INFO: TRAIN in episode 17 has success rate: 1.00, collision rate: 0.00, nav time: 21.25, total reward: 0.1094
2023-12-10 12:45:47, INFO: TRAIN in episode 18 has success rate: 1.00, collision rate: 0.00, nav time: 16.00, total reward: 0.1902
